fake_id,187_total,501_total,502_total,503_total,505_total,506_total,leader,leader_total,margin_of_victory
4598-4607,107,611,775,784,139,66,503,784,9
4345-4350,54,364,513,527,91,35,503,527,14
3235-3239,46,222,440,445,67,23,503,445,5
5155-5163,93,448,804,855,162,53,503,855,51
533-536,22,299,180,315,76,32,503,315,16
228-239,107,512,975,994,146,52,503,994,19
6987-6991,103,235,391,328,69,47,502,391,63
6668-6676,77,414,838,694,151,48,502,838,144
6078-6084,59,226,660,697,76,28,503,697,37
435-439,48,319,286,365,75,22,503,365,46
3273-3277,73,252,503,377,56,33,502,503,126
3938-3943,58,409,406,520,92,26,503,520,111
7085-7094,109,669,694,718,195,54,503,718,24
3389-3398,50,989,395,815,153,36,501,989,174
5552-5556,26,168,250,255,49,16,503,255,5
304-318,102,828,975,1211,214,75,503,1211,236
4786-4796,136,577,894,793,122,54,502,894,101
909-919,96,390,1024,920,157,59,502,1024,104
7170-7174,55,318,358,355,85,42,502,358,3
2556-2560,41,209,541,389,77,32,502,541,152
5992-6003,66,204,1135,1518,69,32,503,1518,383
6588-6608,181,833,2153,1703,269,135,502,2153,450
1258-1266,78,540,618,652,152,73,503,652,34
431-434,41,258,254,269,55,29,503,269,11
2021-2032,97,855,850,894,159,80,503,894,39
6775-6779,54,249,466,382,60,25,502,466,84
5681-5689,77,345,874,872,97,37,502,874,2
5675-5680,57,245,605,525,81,25,502,605,80
1499-1502,44,258,275,304,64,28,503,304,29
4947-4956,126,522,957,807,140,49,502,957,150
